aX,aY,aZ,gX,gY,gZ
1.006,0.328,-0.069,-1.160,-0.488,-4.700
0.999,0.315,-0.073,-9.521,3.296,-3.296
0.966,0.276,-0.097,-13.306,5.127,-1.465
0.946,0.255,-0.113,-12.634,5.859,-0.793
0.919,0.231,-0.134,-10.010,4.761,-1.343
0.914,0.227,-0.135,-7.812,3.113,-0.977
0.911,0.226,-0.134,-4.089,-0.366,1.892
0.911,0.237,-0.126,-2.258,-1.526,2.502
0.915,0.248,-0.122,-0.061,-3.052,2.502
0.932,0.261,-0.107,0.000,-3.784,2.441
0.939,0.260,-0.101,-0.610,-4.089,2.319
0.945,0.256,-0.095,-0.916,-3.662,1.770
0.943,0.262,-0.097,0.122,-3.540,1.465
0.942,0.269,-0.098,2.014,-4.211,1.221
0.953,0.275,-0.089,2.930,-4.517,1.099
0.957,0.280,-0.087,4.700,-4.089,-0.854
0.955,0.290,-0.083,4.700,-3.662,-1.831
0.955,0.288,-0.083,3.418,-3.296,-1.831
0.954,0.279,-0.087,-0.977,-1.770,-0.122
0.947,0.264,-0.098,-1.465,-1.343,0.366
0.943,0.266,-0.103,0.000,-1.465,0.488
0.943,0.276,-0.099,0.366,-1.709,1.404
0.949,0.279,-0.093,1.892,-1.831,2.747
0.963,0.281,-0.083,2.686,-1.404,2.380
0.966,0.281,-0.079,2.869,-0.793,2.136
0.966,0.286,-0.075,2.319,0.244,2.319
0.965,0.300,-0.073,1.526,0.366,2.319
0.964,0.300,-0.072,-0.488,1.526,1.038

1.486,1.103,-0.365,-44.250,-24.902,88.318
1.445,1.085,-0.427,-54.932,2.502,46.326
1.351,0.953,-0.583,-57.068,12.634,24.109
1.324,0.884,-0.660,-63.782,19.104,8.606
1.335,0.761,-0.793,-68.787,17.761,11.230
1.356,0.709,-0.892,-71.838,15.747,13.489
1.354,0.676,-1.034,-63.110,12.329,7.568
1.149,0.719,-1.346,-56.458,7.507,-0.244
0.946,0.792,-1.480,-44.434,-20.508,-15.442
0.336,0.886,-1.675,-37.354,-38.452,-38.086
-0.056,0.855,-1.750,-31.555,-72.205,-142.212
-0.938,0.595,-1.601,-43.884,-97.473,-192.139
-1.314,0.390,-1.158,-75.195,-140.015,-207.031
-1.704,-0.003,0.370,-144.653,-277.161,-128.784
-1.828,-0.072,1.337,-148.499,-334.717,-85.754
-1.891,-0.020,2.350,-124.390,-344.971,-64.331
-1.519,0.378,3.825,-147.217,-329.468,-36.804
-0.527,0.666,4.000,-215.271,-378.723,160.461
3.463,0.239,4.000,-166.199,-415.039,217.651
4.000,-0.622,3.804,68.848,-223.755,-17.029
2.079,-0.974,1.450,120.605,12.512,-145.325
0.005,-0.398,0.318,79.407,208.801,-149.536
-1.128,0.049,-0.365,-34.729,180.115,102.905
-0.752,0.508,-0.761,-41.626,59.631,193.665
-0.321,0.687,-0.461,14.465,-66.040,108.887
0.272,0.777,0.340,43.945,-95.215,20.996
0.607,0.638,0.755,41.016,-107.605,-31.677
1.181,0.195,1.172,21.423,-78.430,-22.949
1.215,0.046,1.158,10.132,-36.255,-17.944
1.084,0.028,1.024,25.208,18.433,-15.015
0.688,0.290,0.597,36.804,23.071,-4.639
0.569,0.459,0.457,34.058,12.695,26.306
0.603,0.703,0.433,23.926,8.240,31.799
0.729,0.780,0.502,18.677,7.751,29.724
0.833,0.784,0.611,17.944,10.193,9.094
0.984,0.670,0.760,17.090,11.841,-11.719
0.985,0.583,0.791,14.465,21.240,-33.875
0.917,0.461,0.771,13.489,29.480,-29.663
0.876,0.423,0.760,13.000,37.903,-21.301
0.819,0.392,0.756,15.503,51.147,-17.639
0.707,0.341,0.724,19.409,55.847,-22.888
0.684,0.323,0.702,29.907,60.669,-23.865
0.721,0.291,0.672,33.875,61.890,-18.127
0.778,0.258,0.686,37.659,64.453,-4.700
0.839,0.226,0.748,39.734,69.763,0.916
0.880,0.229,0.983,44.373,80.444,3.662
0.855,0.240,1.041,56.091,104.248,-7.019
0.837,0.151,0.994,57.739,110.901,-11.963
0.822,0.064,0.990,51.697,130.249,-5.615
0.726,-0.115,0.966,51.575,139.771,-0.977
0.661,-0.197,0.947,54.565,147.217,2.258
0.609,-0.231,0.926,78.674,155.762,17.456
0.608,-0.126,0.835,103.882,152.771,26.184
0.649,-0.033,0.722,159.363,140.137,14.832
0.719,0.101,0.516,174.622,132.874,1.099
0.704,0.133,0.485,174.499,127.197,-3.906
0.670,0.145,0.477,142.334,123.291,18.921
0.599,0.131,0.415,116.333,126.648,36.377
0.601,0.106,0.278,68.604,132.751,82.397
0.597,0.103,-0.051,51.819,133.423,105.774
0.580,0.134,-0.123,41.748,131.226,121.948
0.558,0.181,-0.149,45.349,118.042,120.300
0.515,0.402,-0.202,49.316,109.436,114.136
0.508,0.580,-0.245,26.917,91.370,120.728
0.584,0.890,-0.369,-1.160,81.909,125.549
0.636,0.949,-0.393,-57.678,79.956,114.868
0.650,0.923,-0.443,-65.491,83.130,86.365
0.656,0.870,-0.505,-55.786,84.412,41.504
0.659,0.822,-0.604,-8.362,82.886,-54.016
0.613,0.834,-0.823,12.024,78.674,-87.341
0.591,0.870,-0.888,22.461,58.533,-121.033
0.575,0.829,-0.943,17.334,49.866,-135.864
0.580,0.760,-0.949,12.634,45.105,-179.138
0.618,0.588,-0.963,-0.977,44.861,-180.054
0.678,0.461,-0.932,-27.527,39.673,-159.302
0.751,0.333,-0.867,-56.519,12.024,-106.934
0.883,0.181,-0.730,-46.570,-4.639,-92.712
0.926,0.183,-0.682,-27.344,-28.076,-54.626
1.056,0.274,-0.521,-22.583,-39.795,-26.306
1.140,0.337,-0.391,-6.165,-55.908,16.968
1.298,0.429,-0.125,-0.854,-54.077,27.527
1.348,0.439,-0.034,0.488,-46.753,33.081
1.366,0.443,0.006,2.502,-23.376,29.358
1.309,0.410,-0.023,2.869,-11.353,20.569
1.248,0.362,-0.055,-1.099,7.019,3.540
1.099,0.262,-0.116,-3.479,12.695,-2.136
1.023,0.213,-0.149,-8.911,18.799,-8.850
0.890,0.111,-0.203,-9.216,18.738,-11.169
0.848,0.075,-0.220,-7.690,16.541,-11.963
0.821,0.058,-0.231,-3.906,9.644,-7.690
0.806,0.078,-0.232,-0.122,5.188,-6.104
0.817,0.107,-0.226,8.667,-4.578,-5.859
0.859,0.155,-0.199,9.460,-8.362,-4.395
0.885,0.174,-0.179,9.033,-11.719,-1.953
0.928,0.226,-0.155,9.033,-11.536,-2.258
0.945,0.244,-0.152,7.935,-11.047,-1.953
0.959,0.258,-0.149,5.066,-10.315,-0.183
0.973,0.277,-0.149,3.479,-9.583,0.732
0.982,0.281,-0.147,0.244,-8.362,0.916
1.001,0.273,-0.135,0.000,-7.935,-1.587
1.006,0.256,-0.128,-1.282,-5.127,-6.897
1.000,0.205,-0.128,-3.601,-2.747,-7.507
0.991,0.182,-0.137,-6.714,-0.488,-6.226
0.977,0.167,-0.148,-13.367,2.258,2.014
0.950,0.166,-0.164,-13.611,2.136,5.005
0.940,0.174,-0.168,-7.507,0.549,2.136
0.930,0.177,-0.172,-4.456,-0.244,-0.793
0.927,0.171,-0.175,-1.465,-1.709,-4.150
0.929,0.167,-0.174,-0.732,-2.747,-4.395
0.934,0.171,-0.169,-0.610,-3.784,-3.540
0.938,0.175,-0.164,-1.282,-5.310,-0.854
0.948,0.183,-0.161,-1.038,-5.798,-0.732
0.954,0.187,-0.156,0.244,-6.287,-1.160
0.966,0.197,-0.142,1.526,-6.348,-1.526
0.968,0.206,-0.138,3.479,-6.165,-2.380
0.967,0.221,-0.135,3.967,-5.920,-3.174
0.970,0.225,-0.130,4.517,-5.737,-4.517
0.973,0.224,-0.125,4.211,-4.578,-6.348
0.970,0.222,-0.123,2.686,-4.028,-5.859

1.249,0.711,-0.654,-52.856,-74.829,86.060
1.315,0.755,-0.630,-75.500,-73.547,115.112
1.391,0.870,-0.644,-85.144,-65.430,117.126
