"aX","aY","aZ","gX","gY","gZ"
0.075,0.713,-0.949,30.212,-4.333,-8.240
0.005,0.602,-0.897,20.203,-13.245,-20.508
-0.030,0.559,-0.828,0.793,-19.226,-27.466
-0.070,0.508,-0.768,-2.808,-15.625,-25.085
-0.073,0.498,-0.774,4.700,-3.967,-17.517
-0.059,0.530,-0.836,15.442,-1.648,-15.320
-0.034,0.574,-0.881,27.771,-3.723,-14.954
-0.001,0.630,-0.921,48.096,-21.973,-22.278
0.017,0.672,-1.008,50.110,-35.400,-29.175
0.012,0.675,-1.012,12.634,-39.551,-33.936
0.068,0.761,-0.863,-9.155,-32.471,-33.813
0.107,0.809,-0.796,-5.066,-34.973,-45.776
0.139,0.860,-0.764,11.169,-42.480,-56.213
0.151,0.879,-0.772,29.663,-51.636,-67.688
0.159,0.890,-0.790,80.566,-86.548,-94.849
0.137,0.848,-0.875,107.849,-107.361,-107.849
0.098,0.810,-0.912,132.324,-123.901,-121.338
0.075,0.737,-0.915,130.920,-123.535,-119.995
0.098,0.707,-0.872,122.070,-120.361,-114.502
0.148,0.654,-0.761,116.699,-117.554,-113.220
0.163,0.653,-0.711,110.046,-111.450,-111.694
0.180,0.672,-0.665,96.313,-97.168,-108.093
0.242,0.736,-0.573,92.407,-93.628,-108.276
0.298,0.751,-0.534,93.323,-89.539,-115.967
0.404,0.720,-0.472,94.177,-87.769,-120.056
0.440,0.700,-0.445,87.341,-80.811,-118.347
0.463,0.759,-0.377,82.153,-74.829,-115.173
0.469,0.835,-0.333,80.444,-70.618,-113.647
0.491,0.961,-0.240,102.173,-82.581,-119.202
0.531,0.956,-0.186,128.418,-99.731,-127.563
0.598,0.902,-0.125,199.097,-141.968,-150.024
0.651,0.733,-0.036,227.478,-156.860,-158.691
0.622,0.673,-0.010,236.755,-149.414,-156.921
0.587,0.681,0.058,222.656,-131.775,-150.330
0.583,0.697,0.074,204.834,-112.244,-144.226
0.600,0.683,0.072,171.753,-77.942,-134.338
0.734,0.559,0.066,157.715,-64.636,-131.592
0.768,0.494,0.073,133.179,-45.898,-128.845
0.744,0.405,0.128,123.718,-40.161,-125.061
0.728,0.391,0.142,115.112,-27.527,-112.183
0.745,0.370,0.101,113.892,-18.860,-104.248
0.788,0.328,0.053,111.816,-9.216,-95.520
0.834,0.291,0.011,99.487,7.935,-80.322
0.910,0.294,0.011,95.032,8.789,-77.148
0.925,0.289,0.016,96.680,-4.639,-81.787
0.912,0.206,-0.010,94.238,-8.545,-83.496
0.923,0.175,-0.032,74.463,3.418,-79.285
