"aX","aY","aZ","gX","gY","gZ"
0.052,-0.615,1.104,258.423,-145.508,-51.819
-0.216,-0.935,1.589,260.376,-144.531,-56.763
-0.312,-1.061,1.834,238.892,-115.417,-69.946
-0.187,-1.081,2.155,197.693,-89.722,-75.684
0.005,-0.965,2.173,135.986,-63.782,-78.735
0.322,-0.729,1.803,28.015,-22.888,-87.036
0.395,-0.708,1.483,3.418,-8.301,-92.407
0.427,-0.710,1.171,-17.639,17.517,-72.327
0.480,-0.667,0.766,-13.367,23.437,-44.983
0.489,-0.624,0.698,20.020,22.034,14.648
0.427,-0.543,0.813,33.813,23.010,35.217
0.391,-0.525,0.941,36.743,23.743,47.852
0.379,-0.525,1.058,5.676,19.836,54.199
0.352,-0.582,1.185,-18.616,20.142,53.711
0.313,-0.626,1.203,-55.420,34.668,53.162
0.241,-0.696,1.241,-66.101,46.143,55.481
0.225,-0.710,1.282,-84.839,64.026,60.547
0.245,-0.692,1.330,-96.802,70.923,58.777
0.267,-0.669,1.320,-112.000,76.416,54.260
0.288,-0.641,1.291,-147.705,84.595,45.105
0.312,-0.594,1.197,-161.865,89.539,44.006
0.327,-0.567,1.150,-176.086,101.807,49.866
0.348,-0.495,1.068,-180.115,108.582,55.481
0.348,-0.457,1.028,-189.209,122.253,64.636
0.332,-0.399,0.971,-193.176,127.930,67.993
0.321,-0.374,0.957,-195.190,132.507,70.068
0.315,-0.339,0.942,-196.899,142.212,67.871
0.318,-0.247,0.885,-201.782,147.766,65.247
0.316,-0.206,0.835,-218.811,157.166,60.181
0.339,-0.121,0.688,-227.234,159.119,55.847
0.365,-0.076,0.600,-233.093,160.278,51.270
0.389,-0.039,0.520,-233.643,167.175,46.936
0.413,-0.000,0.397,-227.722,172.363,45.410
0.418,0.020,0.341,-208.740,179.565,35.767
0.436,0.087,0.237,-200.623,179.138,27.527
0.461,0.114,0.199,-192.261,171.265,8.179
0.539,0.148,0.152,-191.772,165.894,1.221
0.571,0.158,0.117,-191.650,161.682,-0.732
0.597,0.162,0.077,-184.082,163.208,7.263
0.628,0.184,0.009,-177.002,167.664,14.099
0.628,0.197,-0.022,-162.170,174.866,29.968
0.626,0.233,-0.094,-156.921,175.964,35.645
0.636,0.257,-0.139,-155.640,175.964,37.964
0.634,0.260,-0.199,-162.598,174.744,37.415
0.588,0.225,-0.355,-163.757,175.781,38.147
0.584,0.229,-0.431,-151.611,178.040,41.870
0.605,0.273,-0.579,-142.029,178.223,46.326
0.603,0.307,-0.663,-128.723,175.781,59.326
0.564,0.359,-0.787,-127.380,168.640,63.110
0.540,0.371,-0.810,-129.761,155.579,62.805
0.526,0.377,-0.810,-140.991,120.789,52.002
0.515,0.367,-0.768,-145.630,105.591,43.823
0.510,0.355,-0.741,-145.935,85.083,28.015
0.502,0.351,-0.692,-142.395,82.214,21.667
0.499,0.343,-0.671,-138.245,83.984,16.479
0.498,0.329,-0.654,-128.601,87.891,10.681
0.498,0.305,-0.622,-123.840,87.402,9.888
0.477,0.285,-0.595,-119.324,85.388,10.376
0.417,0.252,-0.557,-119.812,84.656,9.583
0.377,0.242,-0.558,-126.038,89.111,5.493
0.328,0.218,-0.611,-133.118,94.238,3.601
0.308,0.196,-0.669,-140.198,99.976,2.258
0.290,0.175,-0.735,-147.034,112.183,1.648
0.281,0.118,-0.857,-150.085,118.469,-0.061
0.290,0.087,-0.917,-158.325,121.216,-2.380
0.311,0.019,-1.029,-162.659,116.699,-1.831
0.313,-0.020,-1.060,-167.908,105.652,-1.099
0.290,-0.090,-1.070,-168.457,101.685,-2.075
0.287,-0.120,-1.085,-168.579,100.525,-4.333
0.294,-0.154,-1.111,-166.321,107.544,-6.409
0.314,-0.253,-1.189,-163.940,113.159,-5.249

0.395,-0.922,-2.137,-77.087,67.200,13.916
0.048,-1.072,-1.635,-8.667,2.808,2.686
0.025,-0.093,-0.654,-47.974,-53.833,-0.793
0.130,-0.160,-0.598,-56.641,-12.878,7.751
0.300,-0.562,-0.905,-16.113,21.667,-0.427
0.281,-0.620,-0.961,5.981,29.907,-4.639
0.217,-0.588,-0.925,-6.714,0.427,5.981
0.143,-0.442,-0.831,-12.451,-7.385,10.132
0.153,-0.431,-0.843,-1.343,-1.099,5.798
0.216,-0.498,-0.885,4.272,0.916,2.747
0.232,-0.516,-0.865,0.244,-5.310,4.761
0.219,-0.504,-0.812,-2.869,-6.836,7.080
0.216,-0.502,-0.814,-2.380,-4.211,7.446
0.199,-0.513,-0.849,1.160,0.977,4.944
0.192,-0.512,-0.854,1.221,-0.549,3.906
0.195,-0.508,-0.849,1.709,-4.150,2.319
0.222,-0.510,-0.829,3.601,-3.235,1.709
0.223,-0.513,-0.818,7.690,-0.977,1.160
0.207,-0.510,-0.839,7.263,-1.587,1.099
0.201,-0.504,-0.852,6.531,-2.747,1.038
0.198,-0.482,-0.848,7.874,-2.930,0.793
